Category,Question,Answer
General,Edith Smith Became The First Ever Female What In 1914,Police Woman
General,In Old English what is a frieosan,A Sneeze
General,Hit parade 1992 - What movie has Meg Ryan switching identities with an elderly man,Prelude to a kiss
General,What is the most frequent cause of business errors,Illegible handwriting
General,Thomas Cook the travel agent was born in what year,1808
Music,How Many Members Are There Of The Band “The Pussy Cat Dolls”,7
General,Sakhmet was the egyptian god of ______,War and divine vengeance
Music,Now That We've Caressed And Kissed So Warm And Tender I Cant Wait,Johnny Bristol / Hang On In There Baby
History & Holidays,Who fixed the date of the Christian festival 'Easter'?,Council of Nicaea
General,One of the five special senses (sense organs) by what odors are perceived,Smell
General,What does atp stand for,Adenine triphosphate
General,In 1840 London Sweet Maker Tom Smith Came Up An Invention Still Hugely Popular Today What Was It?,The Christmas Cracker
General,If you have Acute hasopharyngitis what's wrong,You got a cold
Geography,"The _____________ is the world's smallest ocean. It is mostly covered by solid ice, ice floes, and icebergs.",Arctic ocean
General,In what sport does a player win when they get 15 points,Badminton
General,Whose second album was the chart-topping 'no need to argue',Cranberries
General,What was the only dummy awarded an academy award,Charlie mccarthy
General,"The popular character of __________ was not created by Carolyn Keene, but was actually created by a man named Edward Stratemeyer",Nancy drew
General,What was Winston Churchill's codename during WW2,Agent
Music,Who Is Placebo's Outrageous Lead Singer,Brian Molko
Science & Nature,"Just like people, mother __________ often develop lifelong relationships with their offspring.",Chimpanzees
General,"Marble sized, vanilla flavored, chewy caramels covered with milk choclate.",Milk duds
General,On what number is the decimal system based,Ten
General,Name marc bolan's first single,Teenage dream
General,What Was The Unlikely Former Job Of EX US President “ Gerald Ford ”,Male Model
General,What city is famed for its rive gauche,Paris
General,What famous trials were held in 1692,Salem witch trials
Music,Who led the Crazy World?,Arthur Brown
General,The vernal equinox is the beginning of ________,Spring
General,What did a Cordwainer make,Shoes
General,"In the anglo-saxon poem, who killed grendel",Beowolf
General,What is the billionth digit of 'pi',Nine
General,Vivaldi composed The Four Seasons - what's his first name,Antonio
General,The average human body contains enough fat to make how many bars of soap,7
General,In a survey 4% of US employees never do what at work,Laugh
General,For Red October What African republic's name was inspired by its thriving elephant tusk trade,The Ivory Coast
Geography,In which country is the Dalai Lama's palace,Tibet
General,What are the young of seals called,Pups
General,Who composed The Carnival of the Animals,Saint saens
General,What independent states name has 10 letters only one vowel,Kyrgystan
Geography,What is the capital of Egypt,Cairo
Geography,What is the capital of Bhutan ?,Thimphu
Science & Nature,What word is used for a male deer?,Buck
General,Name Eddie Murphy's skit about vocabulary on Saturday Night Live.,Mr. Robinson's Neighborhood
General,The Venice Cup is for women only playing what,Bridge
General,"Countries of the world:landlocked country in southern Africa, the capital is Harare",Zimbabwe
General,The Nuffield Radio Astronomy Laboratories are more usually known by what name,Jodrell bank
General,Canada is the world leader in the production of,Newsprint
Music,"""Rollin"" And ""Once Upon A Star"" Were No.1 Albums For Which 70's Sensation",The Bay City Rollers
General,What ancient measure was the distance from the elbow to the tip of the middle finger,Cubit
Tech & Video Games,Who is the main character from Nintendo's 'Earthbound'?,Ness
General,Capital of Azerbaijan,Baku
General,"What do the dodo, moa and great auk have in common",They are extinct
Music,What was Britain's first winning entry in The Eurovision Song Contest (name The Song),Sandie Shaw / Puppet On A String
Science & Nature,Which Large Animals Did Hannibal Bring With Him Across The Alps ,Elephants 
General,Which car company was founded by Sir William Lyons in 1922,Jaguar
History & Holidays,"In the 1946 film, It's a Wonderful Life, what's the name of George Bailey's guardian angel? ",Clarence (Oddbody) 
General,For what are allen and wright famous,Root beer
General,What did American Harland D. Sanders give to the world in 1939,Kentucky fried chicken
General,"In Greek mythology, who hired daedalus to construct the labyrinth",Minos
Geography,What is the basic unit of currency for Panama ?,Balboa
Sports & Leisure,"Which football team was nicknamed the ""Orange Crush""",The denver broncos
General,Who is known for the 'theory of evolution',Charles darwin
General,Name the first president of the american red cross,Clara barton
General,Orienteering began in which country,Sweden
Geography,Where is the world's largest desert?,North Africa
Music,What Vehicle Drove Natalie Cole Into The Top Ten In 1988,Pink Cadilac
History & Holidays,"Who Was A Tory, then Became A Labour MP And Finally Lead The British Facist Party? ",Oswald Mosley 
Music,Who recorded 'In the Air Tonight' in 1981?,Phil Collins
General,Generally cornflowers are what colour,Blue
Music,Who Joined Queen in their 1981 hit Under Pressure,David Bowie
General,Buddy Rich's real first name was what,Bernard
History & Holidays,"I Am A Suburb Of California, I Have The Nickname (Surf City) and part of my name sounds the same as the surname as 2 Famous Hollywood Celebrities, Where Am I ",Santa Cruz 
Music,Who Married Actress Julia Roberts In 1993,Lyle Lovett
General,As what is Krung Thep is more commonly known,Bangkok
General,Who was shaka's successor,Dingaan
General,"After the end of the Vietnam War, to what was Saigon's name changed",H0 chi min city
People & Places,What Is Princess Diana's Madien Name ? ,Spencer 
General,"Who, on his deathbed, said that he did not wish Queen Victoria to visit him because she would only give him a message for Albert",Disraeli
General,You can do a degree in brewing at Heriot-Watt University where,Edinburgh
Entertainment,Who is Gordon Sumner better known as?,Sting
History & Holidays,In Which Year Was The Berlin Wall Constructed ,1961 
General,"What is the creature that is half eagle, half lion",Griffin
General,"What is the nickname for Reading, Pennsylvania.",Pretzel city
Entertainment,Who played Clyde to Faye Dunaway's Bonnie?,Warren Beatty
Food & Drink,What Is The Italian Name For Squid In A Restaurant? ,Calamari 
Entertainment,"Name the band - songs include ""Light My Fire, Love Her Madly""?",The Doors
People & Places,In Which Country Was Paper Magnate Robert Maxwell Born ? ,Czechoslovakia 
Science & Nature,How many colored squares has a rubiks cube ,54 
General,Who was nicknamed Impeesa (no sleep wolf) by Matabele tribe,Baden Powell
Music,"What Did Ron Pigpen McKernan, Keith Godcheaux & Brent Myland All Have In Common",All Keyboardists Who Died While With The Grateful Dead
History & Holidays,The Character Of Mike Myers Features Heavily In Which Series Of Horror Movies ,Halloween 
General,Florence Nightingale took what cos she was around young men,Bromide
General,Mount Athos is famous for its many monasteries of which religion,Greek orthodox
General,A line that touches a circle at only one point is called a ______. ?,Tangent
Science & Nature,Which Acid Is Present In Your Stomach ,Hydrochloric Acid 
General,Who drinks the most tea per capita,Ireland
General,What is Pennsylvania's main agricultural export,Mushrooms
General,When was the first credit card issued,1900
General,"Who was the son of Saturn and Ops, and the husband of Juno",Jupiter
General,What Is The Full Address Of The Simpsons In The Cartoon Series (Number Worth Jackpot),742 Evergreen Terrace
Geography,In which state is Mount Vernon,Virginia
General,"Excluding Rudolph, how many reindeer pull Santa's sleigh",Eight
History & Holidays,Which Food Of The Gods Was Said To Give Humans Immortality? ,Ambrosia 
General,In what stage show does Frank N Furter appear,The Rocky Horror Picture Show
Geography,This country is home to the world's oldest continuous local democracy.,Iceland
General,In which large bay would you find the Belcher Islands,Hudson bay
General,What is the fear of definite plans known as,Teleophobia
General,83% of all Americans purchase what product,Peanut Butter
General,"Who was the last president of the U.S., as of 1998, to die in office",John kennedy
General,Ncaa: who were the finalists in the men's basketball championship in 1948,Kentucky & baylor
General,What country is the home of the Ashanti people,Ghana
General,A light clear red colour,Cerise
General,What is the young of this animal called: Elephant seal,Weaner
General,What is the best score in blackjack,21
General,What does a manometer measure,Gas pressure
General,What is a moon in its first quarter,Two-bit moon
Geography,What is the capital of Colorado,Denver
General,What's the USA's largest legal cash crop,Corn
Geography,Djibouti is the capital of ______?,Djibouti
Sports & Leisure,In What Context Did Thierry Replace Ian Who Had Previously Replaced Cliff? ,Leading All Time Goal Scorer For Arsenal 
Music,"Which Group Starred ""Magical Mystery Tour""",The Beatles
